analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3,Dep_area_5d_mg/cm2,Dep_area_lifetime_mg/cm2
In_vitro_166_dep_dose_release_tnfa.txt,0.000807,0.0008060000000000001,0.0008150000000000001,166,751,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,16.0,385.0,1.0641132770000001,24,mouse,J774A.1 macrophages,302.0,0.002946754,567.7753392000001,0.662267069,release_tnfa,2.4371400000000003,2.43412,155.49133,5.19e-06,0.004449495
In_vitro_167_dep_dose_release_tnfa.txt,0.032310000000000005,0.0315,0.032,167,753,Breznan 2017,Crystalline SiO2,,DMEM+5%FBS,2.6,5217.0,5217.0,2.6,24,mouse,J774A.1 macrophages,0.44,0.004799997,11910.66252,13.86937639,release_tnfa,0.142164,0.1386,80173.6972,4.03e-07,0.000346086
In_vitro_168_dep_dose_release_tnfa.txt,2.02e-06,2e-06,2.03e-06,168,757,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+2%FBS,2.2,24.0,134.0,1.25377654,18,human,human macrophages,140.0,2.0399999999999998e-05,3.157894862,0.003679526,release_tnfa,0.002821,0.0028,0.311919517,6.46e-06,0.005544192
In_vitro_169_dep_dose_release_tnfa.txt,0.00116,0.0,0.00116,169,761,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+5%FBS,2.2,24.0,109.0,1.303892367,18,human,human macrophages,140.0,0.002018996,312.5380809,0.364164156,release_tnfa,1.624,0.0,179.5665637,6.46e-06,0.005544192
In_vitro_170_dep_dose_release_tnfa.txt,0.000617,0.000615,0.0006190000000000001,170,763,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+10%FBS,2.2,24.0,69.0,1.463268206,18,human,human macrophages,140.0,0.000912796,141.2996903,0.164640041,release_tnfa,0.8638,0.861,95.51083584,6.46e-06,0.005544192
In_vitro_171_dep_dose_release_tnfa.txt,8.290000000000001e-05,4.6700000000000003e-05,9.02e-05,171,768,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+20%FBS,2.2,24.0,59.0,1.523645053,18,human,human macrophages,140.0,0.000142272,22.02352852,0.025661447999999996,release_tnfa,0.11604600000000001,0.06538,12.83126883,6.46e-06,0.005544192
In_vitro_173_dep_dose_release_tnfa.txt,1.83e-05,4e-06,0.000125,173,777,Sayez 2007,Amorphous SiO2,,F12+10%FBS,2.2,35.0,382.2,1.164822392,24,rat,rat alveolar macrophage,77.7,1.5e-06,0.22658610199999998,0.00026405900000000003,release_tnfa,0.01425018,0.0031079999999999997,2.77039274,6.62e-06,0.005680549
In_vitro_175_dep_dose_release_tnfa.txt,0.003699,0.00205,0.0047799999999999995,175,792,Brzicova 2019,Amorphous SiO2,,RPMI+10%FBS,2.2,32.0,32.0,2.2,24,human,THP1 macrophages,189.0,0.004708918,705.9847069,0.82291774,release_tnfa,6.991110000000001,3.8745,554.5727131,6.67e-06,0.005722222
In_vitro_2069_dep_dose_release_il8.txt,0.01267,0.00601,0.0236,2069,266,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17.0,1140.0,1.4896,24,human,THP1,93.37068161,0.148954682,27381.37538,31.90159711,release_il8,11.83006536,5.611577965,2329.044119,5.44e-06,0.004669192
In_vitro_2117_dep_dose_release_il8.txt,0.01594,0.0139,0.0172,2117,540,Cho 2013,CeO2,,RPMI+10%FBS,7.2,9.7,69.3,2.065022988,24,human,THP1,24.1,0.023476842999999997,8825.880137,10.30690487,release_il8,3.84154,3.3499,5992.480734000001,2.66e-06,0.002277778
In_vitro_2121_dep_dose_release_il8.txt,0.0007599,0.000712,0.0008089999999999999,2121,557,Cho 2013,TiO2,rutile,RPMI+10%FBS,4.23,30.5,89.8,2.228612555,24,rat,rat alveolar macrophage,27.5,0.07900638,11827.3017,13.79476329,release_il8,0.20897249999999998,0.1958,113.7574783,6.68e-06,0.005727273000000001
In_vitro_2122_dep_dose_release_il8.txt,0.003251,0.0031899999999999997,0.00331,2122,559,Cho 2013,TiO2,rutile,RPMI+10%FBS,4.23,30.5,89.8,2.228612555,24,human,THP1,27.5,0.016272368,2435.983299,2.8412070519999997,release_il8,0.894025,0.87725,486.67665980000004,6.68e-06,0.005727273000000001
In_vitro_2126_dep_dose_release_il8.txt,0.0008990000000000001,0.000394,0.000983,2126,575,Cho 2013,Amorphous SiO2,,RPMI+10%FBS,2.2,6.2,398.1,1.038490568,24,rat,rat alveolar macrophage,523.4,0.00121068,1574.356326,1.8361915030000002,release_il8,4.705366000000001,2.0621959999999997,1169.0507289999998,7.690000000000001e-07,0.0006593430000000001
In_vitro_2157_dep_dose_release_il8.txt,2.9299999999999997e-05,0.0,0.000426,2157,721,Pal 2015,TiO2,80 anatase 20 rutile,RPMI+10%FBS,4.25,25.0,281.8,1.31,24,human,THP1 macrophages,63.0,0.00013864,21.23124048,0.024752679,release_il8,0.0184653,0.0,4.4885145589999995,6.53e-06,0.00560101
In_vitro_2158_dep_dose_release_il8.txt,0.001274,0.00118,0.0012900000000000001,2158,725,Pal 2015,CeO2,,RPMI+10%FBS,7.65,16.0,223.6,1.69,24,human,THP1 macrophages,87.0,0.000191084,36.81772644,0.042957292,release_il8,1.10838,1.0266,245.4720619,5.19e-06,0.004448232
In_vitro_2161_dep_dose_release_il8.txt,0.00015649999999999998,,,2161,736,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,16.0,385.0,1.0682336590000001,24,human,THP1 macrophages,302.0,0.00288872,556.5934523,0.6492242420000001,release_il8,0.47263,,30.15414276,5.19e-06,0.004449495
In_vitro_2162_dep_dose_release_il8.txt,0.01867,0.0185,0.0189,2162,739,Breznan 2017,Crystalline SiO2,,RPMI+5%FBS,2.6,5217.0,5217.0,2.6,24,human,THP1 macrophages,0.44,0.047999975,119106.6377,138.69377839999999,release_il8,0.082148,0.0814,46327.54342,4.03e-07,0.000346086
In_vitro_2174_dep_dose_release_il8.txt,2.2800000000000002e-05,0.0,0.0005780000000000001,2174,787,Brzicova 2019,TiO2,anatase,RPMI+10%FBS,3.78,190.0,254.0,3.143174534,24,human,THP1 macrophages,10.0,0.03,11152.41636,12.99781073,release_il8,0.0022760000000000002,0.0,8.460966545,2.69e-06,0.002308081
In_vitro_2175_dep_dose_release_il8.txt,0.0001291,0.00011999999999999999,0.000139,2175,789,Brzicova 2019,Amorphous SiO2,,RPMI+10%FBS,2.2,32.0,32.0,2.2,24,human,THP1 macrophages,189.0,0.000135687,20.34287856,0.023712292000000003,release_il8,0.24399899999999997,0.2268,19.35532234,6.67e-06,0.005722222
In_vitro_3033_dep_dose_release_il6.txt,5.2e-06,,,3033,137,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,12,mouse,MH-S murine macrophages,189.16,0.0004943430000000001,108.40855239999999,0.126296676,release_il6,0.009826861999999999,,1.139254384,4.56e-06,0.0039141409999999995
In_vitro_3034_dep_dose_release_il6.txt,1.15e-06,,,3034,141,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,12,mouse,MH-S murine macrophages,203.92,0.000980765,233.51547639999998,0.27254942,release_il6,0.002349158,,0.274285715,4.2e-06,0.003598485
In_vitro_3035_dep_dose_release_il6.txt,1.75e-05,,,3035,143,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,12,mouse,RAW264.7 murine macrophages,189.16,0.0004943430000000001,108.40855239999999,0.126296676,release_il6,0.033103,,3.83771929,4.56e-06,0.0039141409999999995
In_vitro_3036_dep_dose_release_il6.txt,2.55e-05,1.1e-06,0.000144,3036,146,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,12,mouse,RAW264.7 murine macrophages,203.92,0.0004903819999999999,116.75761920000001,0.13627457099999998,release_il6,0.0519996,0.00224312,6.071428579,4.2e-06,0.003598485
In_vitro_3096_dep_dose_release_il6.txt,1.4400000000000001e-05,1.4300000000000002e-05,1.4599999999999999e-05,3096,402,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562.0,1.203470463,24,mouse,RAW264.7,18.56493085,0.002919522,647.3441242,0.754900937,release_il6,0.0026807759999999997,0.002654785,3.201773836,4.51e-06,0.0038674240000000004
In_vitro_3097_dep_dose_release_il6.txt,3.51e-06,3.46e-06,3.56e-06,3097,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848.0,1.3050751059999999,24,mouse,RAW264.7,21.80359323,2.62e-05,5.2716297789999995,0.006140989,release_il6,0.0007657419999999999,0.000754404,0.706639839,4.97e-06,0.0042664140000000005
In_vitro_30_dep_dose_release_tnfa.txt,0.001947,0.0015300000000000001,0.00221,30,124,Wiemann 2018,Amorphous SiO2,,F-12K,2.3,15.0,48.0,1.456360841,16,rat,NR8383 rat macrophages,200.0,0.002235682,456.2616328,0.5325294079999999,release_tnfa,3.8939999999999997,3.06,397.3469389,4.9e-06,0.0041982320000000005
In_vitro_3108_dep_dose_release_il6.txt,4.57e-06,1.76e-06,1.06e-05,3108,493,Kim 2014,Amorphous SiO2,,RPMI+5%FBS,2.2,10.0,342.0,1.07,24,mouse,MH-S murine macrophage,640.0,0.002441343,868.8053379,1.011267776,release_il6,0.0292736,0.011264,1.627758007,2.81e-06,0.002414141
In_vitro_3109_dep_dose_release_il6.txt,0.0001443,5.68e-05,0.00028399999999999996,3109,499,Kim 2014,CeO2,,RPMI+5%FBS,7.2,23.0,432.0,1.88,24,mouse,MH-S murine macrophage,40.0,0.015,2347.417841,2.738589075,release_il6,0.05772000000000001,0.022719999999999997,22.58215963,6.39e-06,0.005477273
In_vitro_3110_dep_dose_release_il6.txt,0.00026489999999999993,0.000148,0.000437,3110,502,Kim 2014,CeO2,,RPMI+5%FBS,7.2,88.0,220.0,4.23,24,mouse,MH-S murine macrophage,10.0,0.0009375,208.7973274,0.243203405,release_il6,0.026489999999999996,0.0148,58.99777283,4.49e-06,0.003854798
In_vitro_3111_dep_dose_release_il6.txt,0.00025810000000000004,0.000136,0.00043799999999999997,3111,514,Kim 2014,TiO2,anatase,RPMI+5%FBS,3.78,10.0,660.0,1.19,24,mouse,MH-S murine macrophage,115.0,0.01620827,5768.0676140000005,6.713887048999999,release_il6,0.296815,0.1564,91.85053378,2.81e-06,0.002414141
In_vitro_3112_dep_dose_release_il6.txt,6.04e-05,2.13e-06,0.000634,3112,521,Kim 2014,TiO2,anatase,RPMI+5%FBS,3.78,200.0,417.0,2.86,24,mouse,MH-S murine macrophage,6.99,0.03,11450.38168,13.32585309,release_il6,0.004220562,0.000148887,23.04580153,2.62e-06,0.002251263
In_vitro_3148_dep_dose_release_il6.txt,0.0014140000000000001,0.00122,0.0016300000000000002,3148,680,Liu 2010,TiO2,anatase,DMEM,3.78,5.0,348.0,1.06105152,24,rat,rat alveolar macrophage,210.0,0.001893186,6573.562497999999,7.66959565,release_il6,2.9694,2.562,4909.722221,2.88e-07,0.000246843
In_vitro_3149_dep_dose_release_il6.txt,2.39e-06,0.0,0.000453,3149,683,Liu 2010,TiO2,80 anatase 20 rutile,DMEM,4.23,21.0,238.0,1.3633127390000002,24,rat,rat alveolar macrophage,50.0,0.0029503,478.1685574,0.557936367,release_il6,0.0011955,0.0,0.387520259,6.17e-06,0.0052878790000000005
In_vitro_3160_dep_dose_release_il6.txt,0.002589,0.00257,0.0026,3160,732,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,20.0,576.0,1.0579940159999999,24,human,THP1 macrophages,613.0,0.002117651,351.7692697,0.40986791,release_il6,15.87057,15.7541,430.06644589999996,6.02e-06,0.005166667
In_vitro_3161_dep_dose_release_il6.txt,1e-06,,,3161,736,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,16.0,385.0,1.0682336590000001,24,human,THP1 macrophages,302.0,0.00288872,556.5934523,0.6492242420000001,release_il6,0.00302,,0.19267822899999998,5.19e-06,0.004449495
In_vitro_3162_dep_dose_release_il6.txt,0.04394,0.0382,0.0453,3162,739,Breznan 2017,Crystalline SiO2,,RPMI+5%FBS,2.6,5217.0,5217.0,2.6,24,human,THP1 macrophages,0.44,0.047999975,119106.6377,138.69377839999999,release_il6,0.19333599999999998,0.16808,109032.258,4.03e-07,0.000346086
In_vitro_3168_dep_dose_release_il6.txt,8.37e-06,8.28e-06,8.47e-06,3168,757,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+2%FBS,2.2,24.0,134.0,1.25377654,18,human,human macrophages,140.0,2.0399999999999998e-05,3.157894862,0.003679526,release_il6,0.0117208,0.011592,1.295975284,6.46e-06,0.005544192
In_vitro_31_dep_dose_release_tnfa.txt,0.003165,0.00223,0.00351,31,127,Wiemann 2018,Amorphous SiO2,,F-12K,2.3,30.0,85.0,1.5091848209999998,16,rat,NR8383 rat macrophages,100.0,0.000454828,68.08802409,0.079361919,release_tnfa,3.165,2.23,473.80239620000003,6.68e-06,0.005731061
In_vitro_4164_dep_dose_release_mip2.txt,0.0028190000000000003,0.00279,0.00283,4164,743,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,30.0,805.0,1.0576837890000002,24,mouse,J774A.1 macrophages,840.0,0.015290077,2288.933685,2.667931299,release_mip2,23.6796,23.436,422.0059885,6.68e-06,0.005731061
In_vitro_4165_dep_dose_release_mip2.txt,0.0016530000000000002,0.00164,0.0016600000000000002,4165,745,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,20.0,576.0,1.053836354,24,mouse,J774A.1 macrophages,613.0,0.001251309,207.8586382,0.242188823,release_mip2,10.13289,10.0532,274.584718,6.02e-06,0.005166667
In_vitro_4166_dep_dose_release_mip2.txt,0.0009295,0.0009279999999999999,0.0009390000000000001,4166,749,Breznan 2017,Amorphous SiO2,,DMEM+5%FBS,2.2,16.0,385.0,1.0641132770000001,24,mouse,J774A.1 macrophages,302.0,0.001433073,276.12196489999997,0.322075426,release_mip2,2.80709,2.8025599999999997,179.0944121,5.19e-06,0.004449495
In_vitro_4167_dep_dose_release_mip2.txt,0.013819999999999999,0.0101,0.0186,4167,753,Breznan 2017,Crystalline SiO2,,DMEM+5%FBS,2.6,5217.0,5217.0,2.6,24,mouse,J774A.1 macrophages,0.44,0.004799997,11910.66252,13.86937639,release_mip2,0.060808,0.04444,34292.80394,4.03e-07,0.000346086
In_vitro_4172_dep_dose_release_mip2.txt,3.7e-06,3e-06,4.52e-06,4172,772,Sayez 2007,Crystalline SiO2,,F12+10%FBS,2.6,452.0,471.5,2.541386355,24,rat,rat alveolar macrophage,5.1,0.0005099999999999999,228.69955159999998,0.26626236600000003,release_mip2,0.000188496,0.000153,1.6573991030000002,2.23e-06,0.0019154039999999999
In_vitro_4173_dep_dose_release_mip2.txt,9.8e-07,0.0,1.19e-06,4173,777,Sayez 2007,Amorphous SiO2,,F12+10%FBS,2.2,35.0,382.2,1.164822392,24,rat,rat alveolar macrophage,77.7,1.5e-06,0.22658610199999998,0.00026405900000000003,release_mip2,0.000761693,0.0,0.148081571,6.62e-06,0.005680549
In_vitro_4192_dep_dose_release_mip2.txt,0.00159,0.00148,0.00165,4192,882,Refsnes 2006,Crystalline SiO2,,RPMI,2.65,14.1,400.0,1.085642849,20,rat,rat macrophage,164.0,0.004457174,968.9508659,1.129987898,release_mip2,2.6076,2.4272,345.65217260000003,4.6e-06,0.003944444
In_vitro_4193_dep_dose_release_mip2.txt,0.004075,0.0033799999999999998,0.00462,4193,885,Refsnes 2006,Crystalline SiO2,,RPMI,2.65,7.4,1200.0,1.0214778420000001,20,rat,rat macrophage,311.0,0.003125765,2248.751795,2.622187078,release_mip2,12.67325,10.5118,2931.6546719999997,1.39e-06,0.001192045
In_vitro_45_dep_dose_release_tnfa.txt,0.003846,0.0036899999999999997,0.0040100000000000005,45,184,Leibe 2019,Amorphous SiO2,,DMEM+10%FBS,2.2,12.0,2245.0,1.009832069,24,mouse,RAW264.7,200.0,0.020277188,5364.335452,6.258586461,release_tnfa,7.692,7.38,1017.4603179999999,3.78e-06,0.003239899
In_vitro_49_dep_dose_release_tnfa.txt,0.00405,0.0038399999999999997,0.00413,49,201,Leibe 2019,Amorphous SiO2,,DMEM,2.2,55.0,55.0,2.2,24,mouse,RAW264.7,55.0,0.006369268000000001,1105.775694,1.290143206,release_tnfa,2.2275,2.112,703.1249997,5.76e-06,0.004936869
In_vitro_59_dep_dose_release_tnfa.txt,7.15e-05,7.099999999999999e-05,7.209999999999999e-05,59,231,Panas 2012,Amorphous SiO2,,DMEM+10%FBS,2.2,12.0,610.1,1.033990102,24,mouse,RAW264.7,200.0,0.001170415,309.6335965,0.361250457,release_tnfa,0.14307999999999998,0.142,18.92592584,3.78e-06,0.003239899
In_vitro_67_dep_dose_release_tnfa.txt,3.5e-06,0.0,0.00473,67,258,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17.0,1350.0,1.4634,24,human,THP1,93.37068161,0.151387517,27828.58768,32.42263693,release_tnfa,0.0032642390000000004,0.0,0.642647059,5.44e-06,0.004669192
In_vitro_69_dep_dose_release_tnfa.txt,0.0010890000000000001,0.00105,0.0011300000000000001,69,264,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17.0,1140.0,1.4896,24,human,THP1,93.37068161,0.002338376,429.84852970000003,0.500809562,release_tnfa,1.016806723,0.980392157,200.1838237,5.44e-06,0.004669192
In_vitro_72_dep_dose_release_tnfa.txt,0.0002833,2.64e-06,0.0033799999999999998,72,280,Farcal 2015,TiO2,rutile,RPMI+10%FBS,4.23,24.7,140.0,1.686037808,24,human,HMDM macrophages,51.0,0.005330277,818.7829502999999,0.954460628,release_tnfa,0.144483,0.0013464,43.51766518,6.51e-06,0.005584596
In_vitro_74_dep_dose_release_tnfa.txt,0.0003339,2.2800000000000002e-05,0.00122,74,296,Farcal 2015,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,144.4,1.1560483990000001,24,human,HMDM macrophages,189.2,0.00249937,548.1074570000001,0.6385487910000001,release_tnfa,0.6317388,0.0431376,73.22368433,4.56e-06,0.0039141409999999995
In_vitro_93_dep_dose_release_tnfa.txt,0.0006529,0.000644,0.000662,93,388,Chen 2018,TiO2,anatase,DMEM+10%FBS,3.78,10.0,150.0,1.242063001,24,mouse,RAW264.7,158.73015869999998,0.003267334,1162.752317,1.353414739,release_tnfa,1.036349206,1.0222222220000001,232.34875519999997,2.81e-06,0.002414141
In_vitro_96_dep_dose_release_tnfa.txt,2.3100000000000002e-05,2.2800000000000002e-05,2.35e-05,96,400,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562.0,1.203470463,24,mouse,RAW264.7,18.56493085,2.9199999999999998e-05,6.47450111,0.007550245,release_tnfa,0.004294069,0.004232804000000001,5.128603105,4.51e-06,0.0038674240000000004
In_vitro_97_dep_dose_release_tnfa.txt,6.77e-06,6.27e-06,7.31e-06,97,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848.0,1.3050751059999999,24,mouse,RAW264.7,21.80359323,2.62e-05,5.2716297789999995,0.006140989,release_tnfa,0.001476975,0.001367085,1.362977867,4.97e-06,0.0042664140000000005
